Category,Key,English,Chinese (Traditional),Notes
,ea16,Will add /x haste,將添加 /x 急速, WARNING: AUTO-TRANSLATION #####################################################
,ea16a,Will add /x haste to all enemies,將為所有敵人增加 /x 急速, WARNING: AUTO-TRANSLATION #####################################################
,ea17,Will add /x rage,將添加 /x 憤怒, WARNING: AUTO-TRANSLATION #####################################################
,ea17a,Will add /x rage to all enemies,會給所有敵人增加 /x 怒氣, WARNING: AUTO-TRANSLATION #####################################################
,ea18,Poison sickness!,毒病！, WARNING: AUTO-TRANSLATION #####################################################
,ea19,Will run away!,會跑掉！, WARNING: AUTO-TRANSLATION #####################################################
,,,,
Levels,The Crypt,The Crypt,地下墓穴,
,The Bramble,The Bramble,荊棘叢林,
,Deep Cave,Deep Cave,深邃洞窟,
,Enchanted Swamp,Enchanted Swamp,魔幻沼澤,
,Magma Core,Magma Core,岩漿核心,
map events,map1,Enemies here:,此處的敵人有：,
,map2,Exit to: /x,前往：/x,
,map3,A chest of valuables!,有一箱子寶物！,
,map4,An unknown event is here!,有一個未知事件！,
,map5,A merchant is selling goods here!,有一名行商在賣東西！,
,map6,A locked door! I need a key!,有一扇上鎖的門，我需要一把鑰匙！,
,map7,A healer!,有一名治療者！,
,map8,A forge!,鍛造！, WARNING: AUTO-TRANSLATION #####################################################
,map9,A vision of danger!,危險的景象！, WARNING: AUTO-TRANSLATION #####################################################
,mapPurse,There I am! I have been doodling on the map,我來了！一直在地圖上塗鴉就為了這天,
,mapSatchel,That's me! I think I spilled some coffee on the map,糟糕！我好像不小心撒了點咖啡到地圖上,
,mapTote,Thank goodness I remembered my glasses!,謝天謝地，我沒忘了帶眼鏡！,
,mapCR8,Position identified. Subroutine parameters: hoard loot,地點已識別……次常式參數：囤積戰利品,
character select,characterSelect,Character Select,角色選擇,
,satchel,satchel,書包, WARNING: AUTO-TRANSLATION #####################################################
,satchel1,"Satchel is the son of a noble bird on the run from the evil King Corvus, the Crow King! With his bag ripped and town captured, Satchel seeks the help of other heroes, and to discover the mystery of the Spiral of Feathers - in hopes of fixing his bag and saving his home!",挎包是一隻貴族鳥的兒子，正在逃離邪惡的烏鴉王烏鴉王！背包被撕破，城鎮被攻陷，薩切爾尋求其他英雄的幫助，並發現羽毛螺旋的奧秘——希望能修好他的包並拯救他的家！, WARNING: AUTO-TRANSLATION #####################################################
,purse,purse,珀斯,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!",來自橡樹郡森林裡一個貧窮村莊的活潑老鼠，她打算勇闖地城，來重建她的村莊並拯救家人！,
,tote,tote,托特,
,tote1,"Banished by the elder frogs, her backpack is blessed by the Dreaming Tree. Magical carvings spawn each turn she is in danger.",在她被青蛙長老們放逐之後，她的背包無意中得到了幻夢樹的祝福；當她遇險時，每個回合都會生成魔法雕飾。,
,CR-8,CR-8,CR-8,
,CR-81,"When you can't find a hero, you gotta make one! CR-8 is a mishmash of metal and nerd stuff that will take care of any enemy automatically - provided his circuitry is properly organized.",「與其到處找英雄，不如親手造英雄！」CR-8 是混合了金屬和書呆子的產物，它將自動解決任何敵人——只要電路安排妥當。,
Events,,,,///////////////I is intros and f is farewells
,evg,/x gold,/x 枚金幣,
,chest,chest,胸部, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,evtn,Welcome to the dungeon!,歡迎來到地城！,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,你為了尋找被藏匿的古老奶酪，必須前往地城深處。你能依賴的只有你的魔法背包。,
,evtb1,I'm ready!,我准備好了！,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!",即便知道生還者屈指可數，你還是進入了地城！,
,,,,
,evten,The end?,結束了?,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,你抵達了地城中央，拿到了黃金奶酪！後續內容即將到來！加入我們的 Discord 群，向我們展示你的背包吧！,
,evteo1cr8,"You see a golden cog upon the platform. Reaching out, it lifts into the sky. Your machinery will restore Orderia! This is only the beginning of your new machines!",你看到平台上有一個金色的齒輪。伸出手，它升上天空。你的機器將恢復Orderia！這只是您的新機器的開始！, WARNING: AUTO-TRANSLATION #####################################################
,evteo1purse,"Your whiskers twitch. There it is - the golden cheese! With delicious food, many new villagers will flock to Orderia!",你的鬍鬚抽搐。就是它——金色的奶酪！有了美味的食物，許多新村民將湧向Orderia！, WARNING: AUTO-TRANSLATION #####################################################
,evteo1tote,"Atop the altar is a golden seed - a ""Dreaming Seed"". With each seed, a new plant will spring to life in Orderia!",祭壇之上是一顆金色的種子——“夢想種子”。每一顆種子，都會在Orderia中綻放出一株新植物！, WARNING: AUTO-TRANSLATION #####################################################
,evteb1,Continue in Endless Mode,在無盡模式繼續遊玩,
,evteb1o1,You continue forward! Things are about to get pretty hard...,你決定繼續前進！前路變得更加艱險……,
,evteb2,New game!,新遊戲！,
,evteb2o1,You decide to start again for a new challenge!,你決定重新來過，尋找另一塊古老奶酪！, WARNING: ENGLISH TEXT CHANGED #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,evldn,Locked door,上鎖的門,
,evldo1,You encounter a locked door. Will you open it?,這扇門被鎖著，你想打開它嗎？,
,evldb1,Unlock the door,解鎖這扇門,
,evldb1o1,You open the door.,你打開這扇門。,
,evldb2,Leave,離開,
,evldb2o1,You leave the door.,你離開這扇門。,
,,,,
,,,,
,,,,
,ev1n,The master returns,再遇弓道大師,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'",你從遠處就看見那個跪著卻無損高貴氣質的他，但看來他早就看到了你。面對他的銳利目光，你感覺自己的靈魂都被看穿了……「需要我幫你精進弓道嗎？」他問道。「只需幾枚金幣我就可以給你一件弓箭手的物品。」,
,ev1b1,Get an item,獲得一件物品,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.",他接過金幣，放在爪心揉搓著。「這些就夠了。希望這東西能幫你精進。」他說道。,
,ev1b1o1t1,Fly true like an arrow,篤定如矢,
,ev1b1o1t2,Be one with your aim,人弓合一,
,ev1b2,Not for me,不適合我,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",「我理解」他靠在附近的牆上說道。「別擔心。隨著地城逐漸完善，很快地弓箭手就會崛起。」,
,ev1b1o2t1,Archery requires time.,箭術需要時間來掌握。,
,ev1i1,The arrow flies straight.,箭矢勇往直前。,
,ev1i2,The path of an arrow - to the heart,一支箭最佳的歸宿，是對手的心臟,
,ev1i3,Archery is an art,箭術即是藝術,
,ev1i4,Arrows require patience,對你的箭要有耐心,
,ev1f1,May we meet again,願我們再次相遇,
,ev1f2,In another life...,來世再會……,
,ev1f3,Fly straight,筆直射出,
,ev1f4,Aim true,瞄準准確,
,ev1f5,Bullseye.,正中靶心。,
,ev1f6,Stay in range,保持射程,
,,,,
,ev2n,Master Archer,弓道大師,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""",你從遠處就看見那個跪著卻無損高貴氣質的他，但看來他早就看到了你。面對他的銳利目光，你感覺自己的靈魂都被看穿了……「交易嗎？我的族人」他問道。「丟棄獾類的工具，與飛矢合而為一。」,
,ev2b1,"Give a weapon, get archery kit.",用一把武器換一組弓箭,
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.",他一接過你的武器就扔到了身後的漆黑角落。「這不是武器，就是根枴杖。」說完，他遞過來一些新東西。,
,ev2b1o1t1,Welcome to the school of archery.,歡迎踏入弓箭之道。,
,ev2b2,Not for me,不適合我,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",「我理解」他靠在附近的牆上說道。「別擔心。隨著地城逐漸完善，很快地弓箭手就會崛起。」,
,ev2b2o1t1,Archery requires time.,箭術需要時間來掌握。,
,,,,
,ev3n,The retiring Chef,退休的大廚,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""",歲月在他的鼻尖周圍留下了痕跡，你也可以看見他外套周圍那些久經磨損的白色毛邊。「我早就洗手不幹啦！」他說道。「如果你有些吃的，我甚至都可以把我的廚刀給你。」,
,ev3b1,Trade food for a cleaver,用食物交換一把廚刀,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""",「看起來不錯啊。」他說完就想都不想把食物大口吞下，你在一旁呆愣地看著他吃完。「給你吧！」說完便把他的廚刀遞給你。「反正我也用不到它了。」,
,ev3b1o1t1,I loved that knife. Use it well!,我還挺喜歡那把刀的，要好好愛護啊！,
,ev3b1o1t2,I hope you like it!,希望你喜歡它！,
,ev3b2,No thanks!,不用了，謝謝！,
,ev3b2o1,You turn to leave.,你轉身離開。,
,ev3b2o1t1,Sure you won't change your mind?,你確定不改變主意嗎？,
,ev3i1,Ah! Hope you aren't too hungry.,啊！希望你不會太餓。,
,ev3i2,Oh my!,我的天！,
,ev3f1,Eat well!,好好享用！,
,ev3f2,Be well fed!,吃好喝好！,
,ev3f3,Taste victory!,品嘗勝利！,
,ev3f4,Stay full!,吃飽飽的！,
,ev3f5,Find cheese!,早日找到奶酪！,
,ev3f6,Welcome! Eat well!,歡迎！用餐愉快！,
,ev3f7,Ah! A customer!,啊哈！一位顧客！,
,,,,
,ev4n,Chef's platter,大廚的餐盤,
,ev4o1,"Is that grilled onion you smell? And the scent of garlic? Oh wow! You want some so bad! ""My friend!,"" the mouse shouts to you. ""Let me indulge you!""",你聞到的是烤洋蔥嗎？還有大蒜的香味？哦哇！你想要一些那麼糟糕！ “我的朋友！”老鼠對你喊道。 “讓我縱容你！”, WARNING: AUTO-TRANSLATION #####################################################
,ev4o1cr8,"Your gears shift and churn. Is that the aroma of food? Somewhere deep within you, a memory stirs. But you cannot smell anything. The mouse shouts to you. ""Let me indulge you!""",你的齒輪移動和攪動。那是食物的香味嗎？在你內心深處的某個地方，一段記憶在激盪。但是你聞不到任何東西。老鼠對你大喊。 “讓我縱容你！”, WARNING: AUTO-TRANSLATION #####################################################
,ev4b1,Buy some food!,買些食物吧！,
,ev4b1o1,"Very good, he says. ""Another perhaps?""",「很好」他說道。「要不再來一份？」,
,ev4b2,"No, thank you",不用了，謝謝,
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""",「好的，沒問題」他說道。「但請您再考慮一下。」,
,ev4b2o1t1,More food to be had!,食無止境！,
,ev4b2o1t2,Eat again!,下次再來！,
,,,,
,ev5n,Eyes,深淵之眼,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,牆壁從中間分開，你看見了裡面的無盡深淵。一對綠瞳從中浮現，你認出這是捕食者的眼神。詭異的聲音在四處回響，彷彿想要與你做個交易……,
,ev5b1,Take a rare item for a curse,獲得一件罕見物品和一個詛咒,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,隨著一件物品的浮現，你知道交易已然達成。在深淵之眼的凝視中，你的背包裡被種下了一個可怕的詛咒。,
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.",兩件物品在你身前浮現，但可怕的詛咒也已降臨。深淵綠瞳不帶情緒地望著你。,
,ev5b2,No thanks,不用了，謝謝,
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,深淵綠瞳凝視著你，眼神看不出任何情緒。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev5i1,01100111 01101111 01101110 01100101,01100111 01101111 01101110 01100101,
,ev5i2,01110111 01100001 01110010,01110111 01100001 01110010,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,01101101 01100001 01101011 01100101 01110010 01110011,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,01110010 01100101 01101100 01101001 01100011 01110011,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,01100100 01100001 01101110 01100111 01100101 01110010,
,ev5f3,01100001 01101000 01100101 01100001 01100100,01100001 01101000 01100101 01100001 01100100,
,,,,
,ev6n,Brandy the Otter,水獺布蘭迪,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""",「你好呀！」她向正在靠近的你打了聲招呼！她抽了抽鼻子並甩動著巨大的尾巴。「我最近捕了一些魚，想買一條嗎？」,
,ev6b1,Buy a fish!,買一條魚！,
,ev6b1o1,"She tosses you a fish. ""Care for another?""",她扔給你一條魚。「再來一條？」,
,ev6b1o1t1,Hope you enjoy it!,好好享用吧！,
,ev6b1o1t2,That's good!,好啊！,
,ev6b2,No thanks,不用了，謝謝,
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,你婉拒了。魚腥味實在有點重了。,
,ev6b2o1t1,I'm still here if you want more!,我會待在這裡，如果你還想要的話可以再來買！,
,ev6b2o1t2,"If you want a fish, let me know!",想吃魚，來找我就對了！,
,ev6i1,Well howdy traveler!,你好啊，旅行者！,
,ev6i2,"Nothing like a good fish, ya hear?",沒什麼能比得上一條好魚，你說對吧？,
,ev6i3,I'm hungry! Need to chomp!,肚子好餓！給我點東西嚼嚼！,
,ev6i4,Oh! Well how ya' doin' friend?,噢！朋友你近來如何啊？,
,ev6i5,Mmm... hi howdy there!,唔唔... 那邊那位朋友你好呀！,
,ev6f1,See you again soon!,希望早日再見！,
,,,,
,ev7n,The Forge - Shield,熔爐 - 盾牌,
,ev7o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",一隻獾在鐵砧旁站著，看起來多年的地城生活使她的雙臂結實又強韌。她向你點了點頭。「我在鍛造。」她說道；獾類總是特別沉厚寡言。「強化？」她又問道。,
,ev7b1,Add 4 block,增加 4 點格擋,
,ev7b1o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她拿過你的盾牌並猛然一擊，金屬悅鳴聲回蕩在地城間。「太弱！」她給出評價。「還能更好！」她用幾番精準的敲打重塑了盾牌，你怎麼都想不到它竟能被修整得這麼漂亮。,
,ev7b1o1t1,You enjoy.,望你滿意。,
,ev7b2,Add 1 spike,增加 1 層尖刺疊加,
,ev7b2o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她拿過你的盾牌並猛然一擊，金屬悅鳴聲回蕩在地城間。「太弱！」她給出評價。「還能更好！」她用幾番精準的敲打重塑了盾牌，你怎麼都想不到它竟能被修整得這麼漂亮。,
,ev7b2o1t1,Better now.,好多了。,
,ev7b3,Add 1 haste,增加 1 層迅速疊加,
,ev7b3o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她拿過你的盾牌並猛然一擊，金屬悅鳴聲回蕩在地城間。「太弱！」她給出評價。「還能更好！」她用幾番精準的敲打重塑了盾牌，你怎麼都想不到它竟能被修整得這麼漂亮。,
,ev7b3o1t1,Work fun.,益勞益樂。,
,ev7b4,No thanks,不用了，謝謝,
,ev7b4o1,She nods and carries on her work.,她點點頭就繼續埋頭做事了。,
,ev7b4o1t1,Work to do.,有活要做。,
,ev7b4o1t2,No want?,不想要？,
,ev7b4o1t3,Still here...,還在這……,
,ev7i1,This my forge,這是我的熔爐,
,ev7i2,Welcome to forge,歡迎來到熔爐,
,ev7i3,I am a crafter,我是工匠,
,ev7i4,I craft for ages...,我鍛造多年……,
,ev7f1,Be well,祝你安好,
,ev7f2,Be strong,祝你堅強,
,ev7f3,Be fierce,祝你勇猛,
,ev7f4,Be like Badger,祝你如獾,
,,,,
,ev8n,The Forge,熔爐 - 武器, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",一隻獾在鐵砧旁站著，看起來多年的地城生活使她的雙臂結實又強韌。她向你點了點頭。「我在鍛造。」她說道；獾類總是特別沉厚寡言。「強化？」她又問道。,
,ev8b1,Add /x damage to a weapon,增加 5 點傷害, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b2,Add /x poison to a weapon,增加 2 層中毒施加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b3,Add /x burn to a weapon,增加 1 層狂暴疊加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b4,Add /x slow to enemy to a weapon,不用了，謝謝, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b5,Add /x block to armor,為盔甲添加 /x 格擋, WARNING: AUTO-TRANSLATION #####################################################
,ev8b6,Add /x block to a shield,將 /x 塊添加到盾牌, WARNING: AUTO-TRANSLATION #####################################################
,ev8b7,Add /x haste to a shield,為盾牌添加 /x 急速, WARNING: AUTO-TRANSLATION #####################################################
,ev8b8,Add /x spikes to a shield,將 /x 尖刺添加到盾牌上, WARNING: AUTO-TRANSLATION #####################################################
,ev8b9,Add conductive to armor,為盔甲添加導電性, WARNING: AUTO-TRANSLATION #####################################################
,ev8b10,Add /x energy to clothing,給衣服添加 /x 能量, WARNING: AUTO-TRANSLATION #####################################################
,ev8b11,Add /x haste to a structure,將 /x 急速添加到結構中, WARNING: AUTO-TRANSLATION #####################################################
,ev8b12,Add /x regen to a ring,將 /x regen 添加到環, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13,No thanks,不，謝謝, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13o1,She nods and carries on her work.,她點點頭，繼續她的工作。, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t1,Work to do.,要做的工作。, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t2,No want?,不要？, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t3,Still here...,還在..., WARNING: AUTO-TRANSLATION #####################################################
,ev8bsos,"She takes the item, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, it glows with a new purpose.",她接過物品，轉動了幾下，然後將它按到她的砧座上。她的錘子發出​​火花，你轉身遮住眼睛。當你轉身時，它會散發出新的光芒。, WARNING: AUTO-TRANSLATION #####################################################
,ev8bsosts,I help,我幫, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,ev9n,Healer,治療者,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,豪豬一族擁有遍佈整座地城的巡迴診所，專為那些敢於在此孤身涉險的動物提供治療。,
,ev9b1,Heal 25 health,治療 25 點血量,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.",她的爪子輕撫過你的傷口。你漸漸沉迷於她背後那些尖刺搖曳的沙沙聲中，回過神來，許多傷口已然痊癒。,
,ev9b1o1t1,You look stronger my dear!,親愛的，你看起來更健康了！,
,ev9b1o1t2,Glad to have helped you!,很高興能幫上忙！,
,ev9b1o1t3,I am here for you!,我是來幫助你的！,
,ev9b1o1t4,Those wounds are gone.,傷口已經癒合了。,
,ev9b2,Gain 5 max health ,獲得 5 點最大血量, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1,She reaches out and you feel a great strength rising! For a moment you seem to lift off the floor.,她向你伸出爪子。你感覺被強大的力量托起。明明腳爪穩穩地踩在地上，你卻感覺像在漂浮一樣。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1purse,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.",她向你伸出援手。在你的上升中，你感到一股巨大的力量。你的爪子牢牢地固定在地上，但它幾乎感覺你在漂浮。, WARNING: AUTO-TRANSLATION #####################################################
,ev9b2o1t1,You are stronger now than before.,你比之前更健康了。,
,ev9b2o1t2,I see your strength.,我看到了你的潛力。,
,ev9b2o1t3,May you achieve what seemed impossible.,願壯志可酬，勇攀高峰。,
,ev9b2o1t4,Your bravery astounds me.,你的勇氣令我震撼。,
,ev9b3,Remove all curses,移除所有詛咒,
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.",「我感知到了一陣強力的騷動！」她說道。「你的背包裡被放入了一些糟糕的東西，讓我看看。」她說完便從背後取下一根尖刺，小心翼翼地伸入你的背包四處點戳。「應該好了。」她說道。,
,ev9b3o1t1,The curses can't hurt you now.,那些詛咒現在不會再傷害你了。,
,ev9b3o1t2,Your backpack is a true friend.,你的背包是最忠實的夥伴。,
,ev9b3o1t3,Curses are temporary.,詛咒只是暫時的。,
,ev9b3o1t4,Heroics are forever.,英勇才是永恆的。,
,ev9b4,Nothing for me,我沒事的,
,ev9b4o1,Very well she says.,「很好！」她說道。,
,ev9b4o1t1,We are with you,我們會與你同在,
,ev9i1,Welcome to our healing center!,歡迎來到我們的治療中心！,
,ev9i2,We are here to protect the brave!,我們在此庇護勇者！,
,ev9i3,"Come hero, let me heal you!",過來，勇士，請讓我為你治療！,
,ev9f1,Stay safe!,請多保重！,
,ev9f2,My sisters are here for you!,我的姐妹們會一直在這裡等你！,
,ev9f3,May we meet again!,願我們再次相見！,
,,,,
,ev10n,Magic Font,魔法湧泉,
,ev10o1,"Nestled deep in a throng of mushrooms you see a magical font, its cool waters flowing. Above the water, a humid mist circles and spills over the edge. In the distance  you hear frogs croaking... no... chanting.",在叢生的蘑菇中你看到了一座魔法湧泉。清涼的泉水從中流出，水面上潮濕的霧氣翻騰溢出檯面。你聽到不遠處有蛙鳴…不對…唸咒聲。,
,ev10b1,Say a prayer...[+3 max hp],默念禱文……【+3 最大血量】,
,ev10b1o1,"You wish to make it home safely, your backpack overflowing with rare cheeses. You feel a warmth in you. You can do this!",你祈禱能帶著裝滿背包的稀有奶酪平安回家。你感到心中充滿了暖意，相信自己一定做得到！,
,ev10b2,take a bath [+15 hp],在此沐浴【+15 血量】,
,ev10b2o1,The water feels warm and relaxing on your skin. The croaking grows louder. From behind a mushroom a frog nods at you. Your wounds are healed.,泉水使你感到溫暖和放鬆，蛙鳴聲變得更響亮了；你看到一隻青蛙在蘑菇後面向你點點頭，你的傷口被治癒了。,
,ev10b3,Kick it over! [Start a battle!],踢翻它！【觸發戰鬥】,
,ev10b3o1,"You watch the water as it flows across the floor of the dungeon. It pools up around the feet of an enemy. You look up. The frogs are not happy. ""Zealot!"" they cry and attack!",你看著泉水在地上漫溢，最終匯聚在了一名敵人的腳下。你抬起頭，看到了一群氣憤的青蛙。「異端！」他們一邊尖叫一邊向你攻了過來。,
,,,,
,ev11n,Buckler-o,擲盾遊戲,
,ev11extra,Drop the li'l Buckler! You can take the item you land on!,選擇一個位置放下這面小圓盾！在它落點的道具就歸你！,
,ev11i1,Nothing up my sleeves!,我的袖子裡什麼都沒有！,
,ev11i2,My left foot is lucky!,我的左腳很幸運！,
,ev11i3,My house looks like a hat!,我的房屋看起來像是頂帽子！,
,ev11f1,Magical!,不可思議！,
,,,,
,ev12n,The Alchemist,煉金術師,
,ev12o1,"Well hello there. Her voice is cool and friendly - not what you expected. ""May I interest you in some potions? In return... I ask for just a taste."" ""A taste? Of me?"" you ask. ""Just a nibble darling,"" she says. ""You'll barely feel a thing.""",「你好呀！」她的聲音出乎你預料地清爽又友善。「希望我這兒有你感興趣的藥水？但作為回報……請讓我淺嘗一口。」「淺嘗一口？對我？」你問道。「放心，只是稍微輕咬而已。」她說完又補充：「幾乎不會有任何感覺的，親愛的。」,
,ev12b1,Get a potion. [Lose 5 health],獲得一瓶藥水。【失去 5 點血量】,
,ev12b1o1,"Her teeth press into your neck. ""Oh delicious. May I tempt you again?""",她的尖牙刺入你的脖頸。「真美味。我能再來一口嗎？」,
,ev12b2,No thanks!,不用了，謝謝！,
,ev12b2o1,"Very well darling, she says. ""Though I am sorry to see you go.""",「當然沒問題，親愛的。」她說到。「雖然我很捨不得讓你走。」,
,ev12b2o1t1,"Your loss, my sweet.",那可是你的損失，我的甜心。,
,ev12i1,"So vital. Mmm, delicious.",生機勃勃的味道。唔……美味。,
,ev12i2,The proper ingredients for the potion...,這個藥水正確的配方是……,
,ev12i3,We brew what we can  to do what we must,為了我們的使命，我們竭盡所能去釀造,
,ev12i4,"A drop of red, a drop of green...",一滴猩紅，一滴墨綠……,
,ev12f1,My dear there are reasons why things are as they are.,親愛的，萬物的存在都是有原因的。,
,ev12f2,Come freely. Go safely darling.,親愛的，請自由到來，安全離去。,
,,,,
,ev13n,Trading up,棄舊換新,
,ev13o1cr8,"A warning from your internal systems - someone here cannot be trusted. Through the darkness your mechanical eyes see him clearly - a rat. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",來自您的內部系統的警告 - 這裡的某個人是不可信的。透過黑暗，你的機械眼睛清楚地看到了他——一隻老鼠。 “我們做個交易吧。”他說。 “我會給你一件稀有的同類型物品……”他輕笑道。沒有任何保證。, WARNING: AUTO-TRANSLATION #####################################################
,ev13o1,"Your snout wiggles as you inhale a musky odor. Someone here is in need of a bath. You turn around and standing there is a rat. You never heard him come out. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",你嗅到一股讓鼻尖狂抽的怪味麝香，心想有人該好好洗澡了。你轉過身，看到一隻悄然出現的老鼠就站在那。「來做個交易吧！」他說道。「我會給你一件相同類型但更稀有的物品……」他竊笑起來，看起來毫無保障。,
,ev13b1,Get a rarer item of the same type,獲得一件相同類型但更稀有的物品,
,ev13b1o1,"He takes the item and examines it. ""How's this for a trade?"" There's no time to say no.",他拿起物品打量了一下。「用這個交換如何？」完全不給你拒絕的機會。,
,ev13b1o1t1,Hehehe,嘿嘿嘿……,
,ev13b1o1t2,Hope ya' like it,希望你喜歡,
,ev13b1o1t3,No take backsies,概不退換,
,ev13b2,No thanks,不用了，謝謝,
,ev13b2o1,"You see his tail flick ominously beneath his cloak. A smile crosses his lips. ""Come now,"" he says. ""I think you'll see it's in your interest.""",你看到他的尾巴在斗篷下調皮地甩動著。一抹暗笑掠過他的唇邊。「來啦！」他說道。「我相信你會感興趣的。」,
,ev13b2o1t1,Don't resist this deal,你不想錯過這種好事吧,
,ev13b2o1t2,Let me tempt you,走過路過，不要錯過,
,ev13b2o1t3,"Come now, let's trade",快點，開始交易吧,
,ev13i1,What are ya' trading?,你打算用什麼來交換？,
,ev13i2,Lets make a deal!,我們做筆買賣吧！,
,ev13i3,Care to do a trade?,做個交易如何？,
,ev13f1,He he he,嘿嘿嘿,
,ev13f2,What a sucker...,真是好騙……,
,,,,
,ev14n,Shady Trader,非法交易者,
,ev14o1,"His cloak billows as he steps out from the shadows. ""We can make a trade, you and I."" he says. You know risks are involved.",當他從陰影中走出來時披風不斷翻騰。「我們可以做一筆交易，就你跟我。」他說道。你知道這一定有風險。,
,ev14b1,Get a different item of the same rarity,獲得一件相同稀有度的不同物品,
