Category,Key,English,Simplified Chinese,Notes
,evteo1cr8,"You see a golden cog upon the platform. Reaching out, it lifts into the sky. Your machinery will restore Orderia! This is only the beginning of your new machines!",你看到平台上有一个黄金齿轮， 伸出触碰之后，它飞上了天空。 奥德里亚开始慢慢恢复！ 你的新挑战才刚刚开始！,
,evteo1purse,"Your whiskers twitch. There it is - the golden cheese! With delicious food, many new villagers will flock to Orderia!",你的胡须抽动，就是它——黄金奶酪！ 有了美味的食物，许多新村民将涌向奥德里亚！,
,evteo1tote,"Atop the altar is a golden seed - a ""Dreaming Seed"". With each seed, a new plant will spring to life in Orderia!",祭坛之上是一颗黄金种子——“幻梦种子”。 每颗种子都将在奥德里亚中绽放一株新植物！,
,evteb1,Continue in Endless Mode,在无尽模式中继续游戏,
,evteb1o1,You continue forward! Things are about to get pretty hard...,你决定继续前行！旅途会变得更加艰难……,
,evteb2,New game!,新游戏！,
,evteb2o1,You decide to start again for a new challenge!,你决定重头再来，迎接一场新的挑战！,
,,,,
,,,,
,,,,
,,,,
,,,,
,evldn,Locked door,上锁的门,
,evldo1,You encounter a locked door. Will you open it?,这扇门被锁着。你想打开它吗？,
,evldb1,Unlock the door,解锁这扇门,
,evldb1o1,You open the door.,你打开了这扇门。,
,evldb2,Leave,离开,
,evldb2o1,You leave the door.,你离开了这扇门。,
,,,,
,,,,
,,,,
,ev1n,The master returns,再遇弓道大师,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'",你从远处看见了他，虽然屈膝跪着，却依然气宇轩昂。看起来他很久之前就见过你。他的鼠目炯炯有神，目光如炬，仿佛能够看穿你的灵魂……“需要再帮你一把吗？”他问道。“只要几枚金币，我就能给你一件弓箭手的物品。”,
,ev1b1,Get an item,获得一件物品,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.",他接过金币，放在爪心揉搓。“这些就够了。但愿这件东西能够帮上你。”他说道。,
,ev1b1o1t1,Fly true like an arrow,笃定如矢,
,ev1b1o1t2,Be one with your aim,百步穿杨,
,ev1b2,Not for me,算了，不适合我,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",“我明白”，他边说边靠在旁边的墙上。“别担心。随着时间的推移，地牢会不断完善，很快弓箭手就要崛起了。”,
,ev1b1o2t1,Archery requires time.,箭术是需要长久练习的。,
,ev1i1,The arrow flies straight.,箭矢笔直地飞射而出。,
,ev1i2,The path of an arrow - to the heart,百发百中，一箭穿心,
,ev1i3,Archery is an art,箭术即艺术,
,ev1i4,Arrows require patience,让箭再飞一会儿,
,ev1f1,May we meet again,愿我们再次相遇,
,ev1f2,In another life...,来世再会……,
,ev1f3,Fly straight,笔直射出,
,ev1f4,Aim true,目标精准,
,ev1f5,Bullseye.,正中靶心。,
,ev1f6,Stay in range,保持射程,
,,,,
,ev2n,Master Archer,弓道大师,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""",你从远处看见了他，虽然屈膝跪着，却依然气宇轩昂。看起来他很久之前就见过你。他的鼠目炯炯有神，目光如炬，仿佛能够看穿你的灵魂……“朋友，买点东西吗？”他问道。“把手上从獾那里得到的家伙什儿扔了吧。体验一下飞一般的感觉。”,
,ev2b1,"Give a weapon, get archery kit.",给出一件武器，获得一组弓箭。,
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.",他接过你的武器，一把扔到了身后的漆黑角落里。“这也算武器？就是根破拐杖。”接着，他递给你一件新的物品。,
,ev2b1o1t1,Welcome to the school of archery.,欢迎踏入弓箭之道。,
,ev2b2,Not for me,算了，不适合我,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",“我明白”，他边说边靠在旁边的墙上。“别担心。随着时间的推移，地牢会不断完善，很快弓箭手就要崛起了。”,
,ev2b2o1t1,Archery requires time.,箭术是需要长久练习的。,
,,,,
,ev3n,The retiring Chef,退休的大厨,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""",岁月在他的脸上留下痕迹，你也可以看到他外套上久经磨损的白色毛边。“我早就洗手不干了，”他说道。“如果你能给我点吃的，我甚至都可以拿我的厨刀和你换。”,
,ev3b1,Trade food for a cleaver,用食物换一把厨刀,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""",“看起来不错啊，”他说完，想都没想就把整个食物吞了下去，你在一旁看得目瞪口呆。“给你吧，”他把厨刀递给了你。“我不需要这玩意了。”,
,ev3b1o1t1,I loved that knife. Use it well!,我还挺喜欢那把刀的，好好爱护它！,
,ev3b1o1t2,I hope you like it!,希望你喜欢它！,
,ev3b2,No thanks!,不用了，谢谢！,
,ev3b2o1,You turn to leave.,你转身离开。,
,ev3b2o1t1,Sure you won't change your mind?,你确定不再好好考虑一下吗？,
,ev3i1,Ah! Hope you aren't too hungry.,啊！希望你不会太饿。,
,ev3i2,Oh my!,我的天哪！,
,ev3f1,Eat well!,好好享用！,
,ev3f2,Be well fed!,吃好喝好！,
,ev3f3,Taste victory!,品尝胜利！,
,ev3f4,Stay full!,吃饱饱的！,
,ev3f5,Find cheese!,早日找到奶酪！,
,ev3f6,Welcome! Eat well!,欢迎光临！用餐愉快！,
,ev3f7,Ah! A customer!,啊哈！客人来了！,
,,,,
,ev4n,Chef's platter,大厨的餐盘,
,ev4o1,"Is that grilled onion you smell? And the scent of garlic? Oh wow! You want some so bad! ""My friend!,"" the mouse shouts to you. ""Let me indulge you!""",你闻到的气味是烤洋葱吗？ 还有大蒜的香味？ 哇哦！ 你太想要来几口了！“我的朋友！”老鼠对你大喊。“让我满足你的渴望！”,
,ev4o1cr8,"Your gears shift and churn. Is that the aroma of food? Somewhere deep within you, a memory stirs. But you cannot smell anything. The mouse shouts to you. ""Let me indulge you!""",你的齿轮翻动运转。那是食物的香气吗？在你内心深处的某个地方，一段尘封已久的记忆在反复激荡。但你似乎还是闻不到任何气味。老鼠对你大喊。“让我满足你的渴望！”,
,ev4b1,Buy some food!,买点吃的吧！,
,ev4b1o1,"Very good, he says. ""Another perhaps?""",“非常棒，”他说道。“要不再来一份？”,
,ev4b2,"No, thank you",不用了，谢谢你,
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""",“好的，没问题，”他说道。“但请你再考虑一下。”,
,ev4b2o1t1,More food to be had!,食无止境！,
,ev4b2o1t2,Eat again!,再来一份！,
,,,,
,ev5n,Eyes,深渊之眼,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,墙壁从中间分开，你看见了里面的无尽深渊。一对绿瞳从中浮现，你认出这是捕食者的眼神。诡异的声音在四处回响，彷彿想要与你做个交易……,
,ev5b1,Take a rare item for a curse,以得到一个诅咒作为代价，拿走一件罕见物品。,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,随着一件物品的浮现，你知道交易已然达成。在深渊之眼的凝视中，你的背包里被种下了一个可怕的诅咒。,
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.",两件物品在你身前浮现，但可怕的诅咒也已降临。来自深渊的翠色双眸中毫无波澜。,
,ev5b2,No thanks,不用了，谢谢！,
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,深渊之眼凝视着你，眼神中毫无波澜。,
,ev5i1,01100111 01101111 01101110 01100101,01100111 01101111 01101110 01100101,
,ev5i2,01110111 01100001 01110010,01110111 01100001 01110010,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,01101101 01100001 01101011 01100101 01110010 01110011,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,01110010 01100101 01101100 01101001 01100011 01110011,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,01100100 01100001 01101110 01100111 01100101 01110010,
,ev5f3,01100001 01101000 01100101 01100001 01100100,01100001 01101000 01100101 01100001 01100100,
,,,,
,ev6n,Brandy the Otter,水獭布兰蒂,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""",“嘿，你好呀！”当你走近时，她向你打着招呼！她抽了抽鼻子，晃动着那条巨大的尾巴。“我最近捕了一些鱼，想买一条吗？”,
,ev6b1,Buy a fish!,买一条鱼！,
,ev6b1o1,"She tosses you a fish. ""Care for another?""",她扔给你一条鱼。“还要再来一条吗？”,
,ev6b1o1t1,Hope you enjoy it!,好好享用吧！,
,ev6b1o1t2,That's good!,好啊！,
,ev6b2,No thanks,不用了，谢谢,
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,你婉拒了。鱼腥味实在有点重了。,
,ev6b2o1t1,I'm still here if you want more!,如果你还想买更多的鱼，尽管到这来找我！,
,ev6b2o1t2,"If you want a fish, let me know!",想吃鱼，来找我就对了！,
,ev6i1,Well howdy traveler!,你好呀，旅行者！,
,ev6i2,"Nothing like a good fish, ya hear?",没有什么能比得上一条新鲜的鱼，你说对吧？,
,ev6i3,I'm hungry! Need to chomp!,肚子好饿！给我点吃的嚼嚼！,
,ev6i4,Oh! Well how ya' doin' friend?,噢！朋友，近来如何？,
,ev6i5,Mmm... hi howdy there!,唔唔……那边那位朋友你好呀！,
,ev6f1,See you again soon!,希望早日再见！,
,,,,
,ev7n,The Forge - Shield,铁匠铺 - 盾牌,
,ev7o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",一只獾站在铁砧旁，地牢里多年的生活让她的手臂变得看起来强壮又结实。她向你点了点头。“我在锻造，”她说道。獾类总是沉默寡言。“强化？”她又问道。,
,ev7b1,Add 4 block,增加 4 点格挡值,
,ev7b1o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她一把拿过你的盾牌，抡起锻锤用力猛击。金属碰撞声回荡在地牢里。“弱极了，”她说道。“还能更好！”只是几下精准的击打，她就重塑了盾牌。你从未想象过它可以被修整得这么漂亮。,
,ev7b1o1t1,You enjoy.,望你满意。,
,ev7b2,Add 1 spike,附加 1 层尖刺效果,
,ev7b2o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她一把拿过你的盾牌，抡起锻锤用力猛击。金属碰撞声回荡在地牢里。“弱极了，”她说道。“还能更好！”只是几下精准的击打，她就重塑了盾牌。你从未想象过它可以被修整得这么漂亮。,
,ev7b2o1t1,Better now.,好多了。,
,ev7b3,Add 1 haste,附加 1 层疾速效果,
,ev7b3o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",她一把拿过你的盾牌，抡起锻锤用力猛击。金属碰撞声回荡在地牢里。“弱极了，”她说道。“还能更好！”只是几下精准的击打，她就重塑了盾牌。你从未想象过它可以被修整得这么漂亮。,
,ev7b3o1t1,Work fun.,工作，有趣。,
,ev7b4,No thanks,不用了，谢谢,
,ev7b4o1,She nods and carries on her work.,她点了点头，然后继续埋头做手上的事。,
,ev7b4o1t1,Work to do.,有活要做。,
,ev7b4o1t2,No want?,不想要？,
,ev7b4o1t3,Still here...,还在这里……,
,ev7i1,This my forge,这是我的铁匠铺,
,ev7i2,Welcome to forge,欢迎来到铁匠铺,
,ev7i3,I am a crafter,我是一个工匠,
,ev7i4,I craft for ages...,已在此锻造多年……,
,ev7f1,Be well,祝你安好,
,ev7f2,Be strong,祝你坚强,
,ev7f3,Be fierce,祝你勇猛,
,ev7f4,Be like Badger,祝你如獾,
,,,,
,ev8n,The Forge,铁匠铺,
,ev8o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",一只獾站在铁砧旁，地牢里多年的生活让她的手臂变得看起来强壮又结实。她向你点了点头。“我在锻造，”她说道。獾类总是沉默寡言。“强化？”她又问道。,
,ev8b1,Add /x damage to a weapon,为武器增加 /x 点伤害,
,ev8b2,Add /x poison to a weapon,为武器附加 /x 层中毒效果,
,ev8b3,Add /x burn to a weapon,为武器附加 /x 层灼烧效果,
,ev8b4,Add /x slow to enemy to a weapon,为武器附加 /x 层对敌人的缓速效果,
,ev8b5,Add /x block to armor,为护甲增加 /x 点格挡值,
,ev8b6,Add /x block to a shield,为盾牌增加 /x 点格挡值,
,ev8b7,Add /x haste to a shield,为盾牌附加 /x 层疾速效果,
,ev8b8,Add /x spikes to a shield,为盾牌附加 /x 层尖刺效果,
,ev8b9,Add conductive to armor,使护甲可传导法力,
,ev8b10,Add /x energy to clothing,为衣甲增加 /x 点能量,
,ev8b11,Add /x haste to a structure,为建材附加 /x 层疾速效果,
,ev8b12,Add /x regen to a ring,为戒指附加 /x 层再生效果,
,ev8b13,No thanks,不用了，谢谢！,
,ev8b13o1,She nods and carries on her work.,她点了点头，然后继续埋头做手上的事。,
,ev8b15o1t1,Work to do.,有活要做。,
,ev8b15o1t2,No want?,不想要？,
,ev8b15o1t3,Still here...,还在这里……,
,ev8bsos,"She takes the item, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, it glows with a new purpose.",她拿过你的武器打量一番，然后将它固定在铁砧上。她的锻锤飞舞，迸出火花，你只能转身掩住双眼。当你再次回身时，你的武器闪耀着光泽，似乎迎来了新的使命。,
,ev8bsosts,I help,我出力,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,ev9n,Healer,治疗师,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,豪猪家族拥有遍布整座地牢的流动诊所。专为那些敢于在此孤身涉险的小动物们提供治疗。,
,ev9b1,Heal 25 health,回复 25 点血量,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.",她的爪子轻抚过你的伤口。你渐渐沉迷于她背后那些尖刺摇曳的沙沙声中，回过神来，许多伤口已然痊愈。,
,ev9b1o1t1,You look stronger my dear!,亲爱的，你看起来更强壮了！,
,ev9b1o1t2,Glad to have helped you!,很高兴能帮到你！,
,ev9b1o1t3,I am here for you!,我是来帮助你的！,
,ev9b1o1t4,Those wounds are gone.,伤口已经愈合了。,
,ev9b2,Gain 5 max health ,获得 5 点最大血量,
,ev9b2o1,She reaches out and you feel a great strength rising! For a moment you seem to lift off the floor.,她向你伸出爪子，你感到被一股强大的力量托起。有那么一瞬间，你几乎就要飘飞起来。,
,ev9b2o1purse,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.",她向你伸出爪子，你感到被一股强大的力量托起。你的脚爪虽然稳稳踩在地上，但身体却好像飘飘欲飞。,
,ev9b2o1t1,You are stronger now than before.,你比之前更强壮了。,
,ev9b2o1t2,I see your strength.,我看到了你的潜力。,
,ev9b2o1t3,May you achieve what seemed impossible.,愿壮志可酬，勇攀高峰。,
,ev9b2o1t4,Your bravery astounds me.,你的勇气非常人所能及。,
,ev9b3,Remove all curses,移除所有诅咒,
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.",“我感到一股强大的扰动，”她说道。“你的背包里被放入了一些糟糕的东西，让我看看。”她说完便从背后取下一根尖刺，小心翼翼地伸入你的背包里刺了几下。“现在应该好了。”,
,ev9b3o1t1,The curses can't hurt you now.,那些诅咒现在不会伤害你了。,
,ev9b3o1t2,Your backpack is a true friend.,你的背包是最忠实的伙伴。,
,ev9b3o1t3,Curses are temporary.,诅咒只是暂时的。,
,ev9b3o1t4,Heroics are forever.,英雄的精神却是永恒的。,
,ev9b4,Nothing for me,我没事的,
,ev9b4o1,Very well she says.,“很好，”她说道。,
,ev9b4o1t1,We are with you,我们与你同在,
,ev9i1,Welcome to our healing center!,欢迎来到我们的治疗中心！,
,ev9i2,We are here to protect the brave!,我们在此庇护勇者！,
,ev9i3,"Come hero, let me heal you!",来吧，勇士，让我来治好你！,
,ev9f1,Stay safe!,请多保重！,
,ev9f2,My sisters are here for you!,我的姐妹们会一直在这里等你！,
,ev9f3,May we meet again!,愿我们还能再见！,
,,,,
,ev10n,Magic Font,魔法涌泉,
,ev10o1,"Nestled deep in a throng of mushrooms you see a magical font, its cool waters flowing. Above the water, a humid mist circles and spills over the edge. In the distance  you hear frogs croaking... no... chanting.",在丛生的蘑菇中你看到了一座魔法涌泉。清凉的泉水从中流出，水面上潮湿的雾气翻腾溢出台面。你听到不远处有蛙鸣…不对…是念咒声。,
,ev10b1,Say a prayer...[+3 max hp],默念祷文…… [+3 最大血量],
,ev10b1o1,"You wish to make it home safely, your backpack overflowing with rare cheeses. You feel a warmth in you. You can do this!",你希望能够平安回家，你的背包里满满地装着珍贵的奶酪。你感到心中充满了暖意，你能做到的！,
,ev10b2,take a bath [+15 hp],在此沐浴 [+15 血量],
,ev10b2o1,The water feels warm and relaxing on your skin. The croaking grows louder. From behind a mushroom a frog nods at you. Your wounds are healed.,泉水使你感到温暖和放松，蛙鸣声变得更响亮了；你看到一只青蛙在蘑菇后面向你点点头，你的伤口被治愈了。,
,ev10b3,Kick it over! [Start a battle!],踢翻它！ [触发战斗],
,ev10b3o1,"You watch the water as it flows across the floor of the dungeon. It pools up around the feet of an enemy. You look up. The frogs are not happy. ""Zealot!"" they cry and attack!",你看着泉水在地上漫溢，最终汇聚在了一名敌人的脚下。你抬起头，看到了一群气愤的青蛙。“异端！”他们一边尖叫一边向你攻了过来。,
,,,,
,ev11n,Buckler-o,掷盾游戏,
,ev11extra,Drop the li'l Buckler! You can take the item you land on!,选择一个位置扔下这面小圆盾！它最后落在哪里，哪里的道具就归你！,
,ev11i1,Nothing up my sleeves!,我可没耍阴招！,
,ev11i2,My left foot is lucky!,吉人自有天相，我可是员福将！,
,ev11i3,My house looks like a hat!,我的房子看起来像顶帽子！,
,ev11f1,Magical!,不可思议！,
,,,,
,ev12n,The Alchemist,炼金术士,
,ev12o1,"Well hello there. Her voice is cool and friendly - not what you expected. ""May I interest you in some potions? In return... I ask for just a taste."" ""A taste? Of me?"" you ask. ""Just a nibble darling,"" she says. ""You'll barely feel a thing.""",“你好呀！”她的声音听起来清爽又友善——和你想象的有些不一样。“希望我这儿有你感兴趣的药水？作为回报……请让我浅尝一口。”“尝一口什么？我吗？”你问道。“只是一小口，亲爱的，”她又补充道。“你几乎不会有任何感觉。”,
,ev12b1,Get a potion. [Lose 5 health],获得一瓶药水。 [失去 5 点血量],
,ev12b1o1,"Her teeth press into your neck. ""Oh delicious. May I tempt you again?""",她的尖牙刺入你的脖颈。“太美味了。能让我再来一口吗？”,
,ev12b2,No thanks!,不用了，谢谢！,
,ev12b2o1,"Very well darling, she says. ""Though I am sorry to see you go.""",“好吧亲爱的，”她说道。“虽然我很舍不得让你走。”,
,ev12b2o1t1,"Your loss, my sweet.",那可是你的损失，亲爱的。,
,ev12i1,"So vital. Mmm, delicious.",生机勃勃的味道。呒……真可口。,
,ev12i2,The proper ingredients for the potion...,这个药水的正确配方是……,
,ev12i3,We brew what we can  to do what we must,为了我们的使命，我们尽自己所能去调制,
,ev12i4,"A drop of red, a drop of green...",一滴猩红，一滴墨绿……,
,ev12f1,My dear there are reasons why things are as they are.,亲爱的，万物的存在都是有原因的。,
,ev12f2,Come freely. Go safely darling.,亲爱的，请放心到来，安全离开。,
,,,,
,ev13n,Trading up,鸟枪换炮,
,ev13o1cr8,"A warning from your internal systems - someone here cannot be trusted. Through the darkness your mechanical eyes see him clearly - a rat. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",“某个不可信任的个体出现了！”这是来自系统内部的警告。透过黑暗，你的机械眼睛清楚地看到了他——一只老鼠。“来做笔买卖吧！”他说道。“我会给你一件相同类型但更稀有的物品……”他窃笑起来，看起来一点都不可靠。,
,ev13o1,"Your snout wiggles as you inhale a musky odor. Someone here is in need of a bath. You turn around and standing there is a rat. You never heard him come out. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",麝香的味道钻进你的鼻孔，刺激得鼻子微微耸动。看来这里有个人该洗澡了。你转过身，发现一只老鼠悄然出现站在那里。“来做笔买卖吧！”他说道。“我会给你一件相同类型但更稀有的物品……”他窃笑起来，看起来一点都不可靠。,
,ev13b1,Get a rarer item of the same type,获得一个相同类型的更稀有的物品,
,ev13b1o1,"He takes the item and examines it. ""How's this for a trade?"" There's no time to say no.",他拿起物品检查了一番。“用这个交换如何？”他根本没给你拒绝的机会。,
,ev13b1o1t1,Hehehe,嘿嘿嘿……,
,ev13b1o1t2,Hope ya' like it,希望你会喜欢,
,ev13b1o1t3,No take backsies,概不退换喔,
,ev13b2,No thanks,不用了，谢谢,
,ev13b2o1,"You see his tail flick ominously beneath his cloak. A smile crosses his lips. ""Come now,"" he says. ""I think you'll see it's in your interest.""",你看到他的尾巴在斗篷下灵活地甩动着。一抹暗笑掠过他的嘴角。“来吧，”他说道。“我相信你会感兴趣的。”,
,ev13b2o1t1,Don't resist this deal,你也不想错过这种好事吧,
,ev13b2o1t2,Let me tempt you,走过路过，不要错过,
,ev13b2o1t3,"Come now, let's trade",来吧，让我们做笔买卖,
,ev13i1,What are ya' trading?,你准备用什么交换？,
,ev13i2,Lets make a deal!,我们做笔买卖吧！,
,ev13i3,Care to do a trade?,做笔买卖如何？,
,ev13f1,He he he,嘿 嘿 嘿,
,ev13f2,What a sucker...,真是个蠢货……,
,,,,
,ev14n,Shady Trader,地下商人,
,ev14o1,"His cloak billows as he steps out from the shadows. ""We can make a trade, you and I."" he says. You know risks are involved.",他从暗处走出来，身上的斗篷随风猎猎作响。“我们可以谈笔生意，就你和我。”他说道。你清楚地知道机遇和风险并存。,
,ev14b1,Get a different item of the same rarity,获得一件稀有度相同的不同物品。,
,ev14b1o1,He takes your item and from his cloak pulls a replacement.,他拿走你的物品，从斗篷里又掏出另一样东西。,
,ev14b2,No thanks!,不用了，谢谢！,
,ev14b2o1,"Very well, he says. ""But can I perhaps change your mind?""",“好吧，”他说道。“也许你可以再考虑一下？”,
,ev14b2o1t1,The offer still stands.,如果你改主意了，随时欢迎再来。,
,,,,
,ev15n,squirrel patrol,松鼠巡逻兵,
,ev15o1,"The squirrel looks at you absent mindedly. ""Long ago I retired from the patrol"", he says. ""Now I spend my days adventuring and reliving my glory days. I don't need much of my old equipment anymore. Can I interest you in something?""",这只松鼠漫不经心地看着你。“很久前我就从巡逻队退役了”，他说道。“现在我每天都在冒险，重温我当年的光辉岁月。大部分旧装备我已经用不上了，有哪件是你需要的吗？”,
,ev15b1,"""I'll take a shield""",“我要一面盾牌”,
,ev15b1o1,"From beneath his bushy tail, he pulls a shield. ""This may protect you. Remember, loot is only valuable if you make it back alive.""",他从毛茸茸的大尾巴里抽出一面盾牌。“这面盾应该能够护你周全。记好了，有命挣钱还得有命花。”,
,ev15b1o1t1,I hope the shield serves you well!,希望这面盾牌能帮上你！,
,ev15b2,"""I'll take a weapon""",“我要一把武器”,
,ev15b2o1,"He reaches into his tunic and pulls out a weapon, tossing it to you.",他把手伸进外套里，掏出一把武器，扔给了你。,
,ev15b2o1t1,Strike down any who oppose the patrol!,打倒任何胆敢反抗巡逻队的坏蛋！,
,ev15b2o1t2,The patrol lives by these weapons!,这些武器帮助巡逻队存活了下来！,
,ev15b3,Maybe something to eat,也许你能给我一些食物,
,ev15b3o1,"He scratches at the ground. Beneath his feet is a mound of nuts and hidden among them, many a delicious food.",他刨了刨地面。在他的脚下埋着一堆坚果，其中混杂着很多美味的食物。,
,ev15b3o1t1,An army marches on its stomach!,兵马未动，粮草先行！,
,ev15b3o1t2,Better than what we used to eat on the patrol.,这比我们过去在巡逻队时的军粮好多了。,
,ev15i1,Hark! You are greeted by a member of the patrol!,注意！巡逻队队员在此敬礼！,
,ev15f1,Long live the patrol!,巡逻队万岁！,
,ev15f2,The patrol shall conquer!,巡逻队必胜！,
,ev15f3,"In retirement, I still patrol!",纵使此身退役，仍将巡逻四海！,
,,,,
,ev16n,Statue of Anna,安娜的雕像,
,ev16o1,"Inscribed on the statue: ""Anna bestowed gifts The world felt safe in her arms healer in a fire""",雕像上刻着：“安娜赐福 / 众人皆安息 / 于烈焰济世”,
,ev16b1,Gain 5 max hp,获得 5 点最大血量,
,ev16b1o1,You leave a coin. Then kneel before the statue and say a prayer. Anna somehow seems to reflect light even in this dark place.,你留下了一枚金币，而后在雕像前跪拜祈祷。安娜似乎在如此黑暗的地方都能闪耀着些许光芒。,
,ev16b2,Steal coins [Get 10 gold or a fight begins],偷走金币 [获得 10 枚金币或者开始战斗],
,ev16b2o1,Travelers leave coins by the statue as a token for their prayers. You decide that Anna won't miss just a few.,旅行者们在雕像边留下金币作为他们祈祷的供奉。你觉得安娜不会在意少了几枚金币的。,
,ev16b2o2,"You approach the statue to grab a few coins. As the coins jingle, you turn to see an approaching group of enemies.",你走近雕像，抓了把金币。到手的金币叮当作响，但转身霎那，你看到了一群敌人正在逼近。,
,ev16b3,Leave,离开,
,ev16b3o1,You say a quick prayer. You decide to leave the statue behind.,你念了句祷词便匆匆离去了。,
,,,,
,ev17n,A Red fox in the dark,黑暗中的赤狐,
,ev17o1,"The fox steps out from the shadows. ""Natural prey."", he says. ""If we battle, I shall make short work of you. Be ye friend or foe?""",狐狸从阴影处现身。“天然的猎物。”他说道。“如果我们开战，我很快就能干掉你。你是敌是友？”,
,ev17o1cr8,"From the darkness he emerges. A fox! His tail flicks beneath his cloak. ""You won't make much of a meal,"" he says. ""But a high price your body will fetch. Be ye friend or foe?""",从黑暗中出现了一只狐狸！他的尾巴在斗篷下摆动。 “你当不了一顿大餐。”他说道。“但你的身体能被卖出高价。你是敌是友？”,
,ev17o1tote,"The stones on your backpack glow - danger is near! You turn to see the fox. He has perhaps been watching you for a while. ""Been a while since I've had a Toad,"" he says. ""Be ye friend or foe?""",你背包上的石头发出光芒——危险就在附近！你转身看到了狐狸。他可能已经观察你一段时间了。“我好久没吃过青蛙了。”他说道。“你是敌是友？”,
,ev17b1,I'm a friend!,我是你的朋友！,
,ev17b1o1,He nods and steps aside to let you pass. Your tail twitches instinctively. You're lucky he let you live.,他点了点头，侧身让出路。你的尾巴本能地颤抖着。能从他的手心里活下来可真算你命大。,
,ev17b1o1t1,Be gone then!,那就快滚！,
,ev17b1o1t2,Don't make me regret it!,可别让我反悔！,
,ev17b1o1t3,I shall watch you.,我会盯着你的。,
,ev17b2,I'm a foe! [Start Combat],我是你的敌人！ [开始战斗],
,ev17b2o1,He draws his sword. Slowly sizing you up...,他拔出利剑，缓缓地打量着你……,
,ev17b2o2,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""You have the heart of a fox. I respect you. You may have my blade.""",他拔出了他的剑……然后……停了下来，“哈！”他大笑。“老鼠身，狐狸心。我很欣赏你。你可以拿走我的剑。”,
