Category,Key,English,Japanese,Notes
,ea10,Will add /x slow,/x減速,
,ea11,Will add /x weak,/x弱体化,
,ea12,Will summon an enemy,敵を召喚する,
,ea13,Will deal /x vampirism,/xの吸血,
,ea14,Will add one of these curses:,次のどれかの呪文を唱える：,
,ea15,"Will self destruct, dealing /x damage",自爆して、/xのダメージをくらう, WARNING: AUTO-TRANSLATION #####################################################
,ea16,Will add /x haste,/xの加速効果を追加, WARNING: AUTO-TRANSLATION #####################################################
,ea16a,Will add /x haste to all enemies,全敵に/xの加速効果, WARNING: AUTO-TRANSLATION #####################################################
,ea17,Will add /x rage,/xの凶暴効果, WARNING: AUTO-TRANSLATION #####################################################
,ea17a,Will add /x rage to all enemies,全敵に/xの凶暴効果, WARNING: AUTO-TRANSLATION #####################################################
,ea18,Poison sickness!,毒が効いている！, WARNING: AUTO-TRANSLATION #####################################################
,ea19,Will run away!,走って逃げるぞ！, WARNING: AUTO-TRANSLATION #####################################################
,,,,
Levels,The Crypt,The Crypt,地下室,
,The Bramble,The Bramble,イバラの茂み,
,Deep Cave,Deep Cave,深い洞窟,
,Enchanted Swamp,Enchanted Swamp,魅惑の沼地,
,Magma Core,Magma Core,マグマの中心核,
map events,map1,Enemies here:,敵がいます：,
,map2,Exit to: /x,行き先：/x,
,map3,A chest of valuables!,貴重なアイテムのチェスト！,
,map4,An unknown event is here!,未知のイベント！,
,map5,A merchant is selling goods here!,商人がアイテムを売っている！,
,map6,A locked door! I need a key!,閉ざされた扉！鍵が必要だ！,
,map7,A healer!,治療者だ！,
,map8,A forge!,鍛冶屋だ！, WARNING: AUTO-TRANSLATION #####################################################
,map9,A vision of danger!,危険だ！, WARNING: AUTO-TRANSLATION #####################################################
,mapPurse,There I am! I have been doodling on the map,ここよ！マップをうろうろ歩いていたの,
,mapSatchel,That's me! I think I spilled some coffee on the map,ここだよ！マップにコーヒーをこぼしちゃったかも,
,mapTote,Thank goodness I remembered my glasses!,メガネだメガネ！忘れずに持ってきたよ。,
,mapCR8,Position identified. Subroutine parameters: hoard loot,位置を特定。サブルーチン・パラメータ：戦利品を貯蓄,
character select,characterSelect,Character Select,キャラクター選択,
,satchel,satchel,サッチェル, WARNING: AUTO-TRANSLATION #####################################################
,satchel1,"Satchel is the son of a noble bird on the run from the evil King Corvus, the Crow King! With his bag ripped and town captured, Satchel seeks the help of other heroes, and to discover the mystery of the Spiral of Feathers - in hopes of fixing his bag and saving his home!",サッチェルは、凛々しい鳥の息子だ。邪悪なカラスの王コルヴスから逃げている！バッグもボロボロで、町も捕らえられたサッチェルはヒーローの助けを求めている。羽の謎を解き明かすため - バッグを修理してふるさとを救いたい！, WARNING: AUTO-TRANSLATION #####################################################
,purse,purse,パース,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!",オークシャーの森の貧しい村で生まれた元気いっぱいなネズミ。地下牢を突破し村おこしをして、家族を救うのが彼女の目標！,
,tote,tote,トート,
,tote1,"Banished by the elder frogs, her backpack is blessed by the Dreaming Tree. Magical carvings spawn each turn she is in danger.",年配のカエルたちに追い出された彼女のバックパックは、夢見る木の祝福を授かっている。彼女が危険にさらされるたびに、魔法の彫刻がスポーンする。,
,CR-8,CR-8,CR-8,
,CR-81,"When you can't find a hero, you gotta make one! CR-8 is a mishmash of metal and nerd stuff that will take care of any enemy automatically - provided his circuitry is properly organized.",ヒーローが見つからないのなら、創り出せばいい！ 金属とオタク要素を組み合わせたCR-8はは、どんな敵も自動でやっつけてしまう - 回路はきちんと組んでおこう。,
Events,,,,///////////////I is intros and f is farewells
,evg,/x gold,/xゴールド,
,chest,chest,チェスト, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,evtn,Welcome to the dungeon!,地下牢へようこそ！,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,地下深くまで掘り進めて隠された古代のチーズを見つけ、地下牢を征服しよう。君の装備は魔法のバックパックのみだ。,
,evtb1,I'm ready!,準備完了！,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!",生きて帰った者はわずかだと知りつつも、君は地下牢に足を踏み入れた！,
,,,,
,evten,The end?,ここで終わり？,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,君は見事に地下牢の中心までたどり着き、金のチーズを発見した！さらなるコンテンツが追加される予定なのでdiscordに参加してぜひ君のバックパックを見せてね！,
,evteo1cr8,"You see a golden cog upon the platform. Reaching out, it lifts into the sky. Your machinery will restore Orderia! This is only the beginning of your new machines!",台の上に金色の部品が見える。手を伸ばすと、空中に浮いて空へと消えていった。君の装置はきっとオーデリアを救う！これは機械製造の始まりの一歩に過ぎない！, WARNING: AUTO-TRANSLATION #####################################################
,evteo1purse,"Your whiskers twitch. There it is - the golden cheese! With delicious food, many new villagers will flock to Orderia!",ヒゲがぴくぴくと動く。そこだ - 金色のチーズ！おいしい食べ物があれば、オーデリアにどんどん新しい村人が入ってくる！, WARNING: AUTO-TRANSLATION #####################################################
,evteo1tote,"Atop the altar is a golden seed - a ""Dreaming Seed"". With each seed, a new plant will spring to life in Orderia!",祭壇の上に金色の種がある - 「夢の種」だ。種があれば、オーデリアに新しい命が芽吹く！, WARNING: AUTO-TRANSLATION #####################################################
,evteb1,Continue in Endless Mode,エンドレスモードで続ける,
,evteb1o1,You continue forward! Things are about to get pretty hard...,続けるんだね！どんどん難しくなっていくよ…,
,evteb2,New game!,新しいゲーム！,
,evteb2o1,You decide to start again for a new challenge!,新しいチーズを求めて、また冒険に出るんだね！, WARNING: ENGLISH TEXT CHANGED #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,evldn,Locked door,閉ざされた扉,
,evldo1,You encounter a locked door. Will you open it?,閉ざされた扉がある。開ける？,
,evldb1,Unlock the door,鍵を開ける,
,evldb1o1,You open the door.,鍵を開けた。,
,evldb2,Leave,立ち去る,
,evldb2o1,You leave the door.,扉を後にした。,
,,,,
,,,,
,,,,
,ev1n,The master returns,マスター、再び,
,ev1o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... 'May I help you further?' he asks. 'A few coins and I will give you an item for archers.'",ひざまずきながらも気高い雰囲気を醸すその姿が遠くに見える。ずっと昔に会ったことがあるようだ。そのネズミの目は強く、鋭い。魂まで見透かされているような気分だ…「まだ手助けが必要か？」と彼は尋ねる。「コイン数枚で、弓矢用のアイテムを渡してやるよ」。,
,ev1b1,Get an item,アイテムを獲得,
,ev1b1o1,"He takes the coins and rubs them in his mouse paw. ""Just a few will do nicely. I hope this can help you further,"" he says.",ネズミはコインを手に取り、手のひらにのせて撫でた。「少しでいいのだ。これが君の役に立つなら」,
,ev1b1o1t1,Fly true like an arrow,矢のごとく飛ぶ,
,ev1b1o1t2,Be one with your aim,狙いを定める,
,ev1b2,Not for me,自分には向いてない,
,ev1b1o2t,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",「分かったよ」彼はそう言って近くの壁に寄り掛かった。「心配はいらないさ。弓使いはすぐに来る。地下の道のりはだんだんと良くなってくるのだから。」,
,ev1b1o2t1,Archery requires time.,弓矢の習得には時間がかかるようだ。,
,ev1i1,The arrow flies straight.,矢はまっすぐに飛んだ。,
,ev1i2,The path of an arrow - to the heart,矢はアーチを描き - 真ん中を貫いた,
,ev1i3,Archery is an art,弓矢は芸術だ,
,ev1i4,Arrows require patience,矢には忍耐が必要,
,ev1f1,May we meet again,また会おう,
,ev1f2,In another life...,来世で…,
,ev1f3,Fly straight,まっすぐに撃つ,
,ev1f4,Aim true,狙いを定める,
,ev1f5,Bullseye.,命中。,
,ev1f6,Stay in range,範囲内にとどまる,
,,,,
,ev2n,Master Archer,弓使いの師,
,ev2o1,"You see him from a distance, kneeling yet noble. It seems he saw you long before. His mouse eyes are strong and piercing. You feel that he sees into your soul... ""A trade my sibling?"" he asks. ""Discard the tools of badgers. Be one with flight.""",ひざまずきながらも気高い雰囲気を醸すその姿が遠くに見える。ずっと昔に会ったことがあるようだ。そのネズミの目は強く、鋭い。魂まで見透かされているような気分だ…「取り引きか？」と彼は尋ねる。「アナグマの道具は捨てなさい。弓と一体となるのだ」。,
,ev2b1,"Give a weapon, get archery kit.",武器を渡して弓矢の道具一式を受け取る。,
,ev2b1o1,"He takes the weapon and tosses it into the darkness. ""This is not a weapon. It is a crutch."" He hands you new items.",彼は武器を手に取り、暗闇へ放り投げた。「こんなものは武器ではない。松葉杖のようなものだ。」そう言って新しいアイテムをこちらによこした。,
,ev2b1o1t1,Welcome to the school of archery.,弓矢の訓練へようこそ。,
,ev2b2,Not for me,自分には向いてない,
,ev2b2o1,"I understand, he says and leans against the nearby wall. ""Don't worry. Archers are coming soon. The dungeon will improve with time.""",「分かったよ」彼はそう言って近くの壁に寄り掛かった。「心配はいらないさ。弓使いはすぐに来る。地下の道のりはだんだんと良くなってくるのだから。」,
,ev2b2o1t1,Archery requires time.,弓矢の習得には時間がかかるようだ。,
,,,,
,ev3n,The retiring Chef,定年のシェフ,
,ev3o1,"Age has crept in around his snout. You can see the white fur and shaggy edges from around his coat. ""I'm getting out of the game,"" he says. ""If you have something to eat, I might as well give you my cleaver.""",鼻の周りに細かいシワが刻まれている。ふさふさの毛には白髪が混じって見える。「俺はゲームを降りるんだ」と彼は言う。「何か食べるものを持ってるんなら、この肉切り包丁を譲ってやろう。」,
,ev3b1,Trade food for a cleaver,食べ物と肉切り包丁を交換する,
,ev3b1o1,"Looks good to me, he says. You can't believe that he eats the whole thing without a moment's thought. ""Here you go,"" he says and hands you his chef knife. ""I won't be needing this any more.""",おいしそうだ、と男は言った。一瞬の隙もなくすべて平らげた。「ほらよ、」そう言って、牛刀をこちらに手渡す。「もう使わないんだ。」,
,ev3b1o1t1,I loved that knife. Use it well!,世話になったんだ。大事に使ってやってくれ！,
,ev3b1o1t2,I hope you like it!,きっと気に入るよ。,
,ev3b2,No thanks!,遠慮する！,
,ev3b2o1,You turn to leave.,踵を返し立ち去ろうとした。,
,ev3b2o1t1,Sure you won't change your mind?,本当にいいのか？,
,ev3i1,Ah! Hope you aren't too hungry.,おっと！そんなに腹は減ってないよな？,
,ev3i2,Oh my!,なんと！,
,ev3f1,Eat well!,たくさん食べて！,
,ev3f2,Be well fed!,いっぱい食べるぞ！,
,ev3f3,Taste victory!,勝利の味だ！,
,ev3f4,Stay full!,たくさん食べよう！,
,ev3f5,Find cheese!,チーズを見つけよう！,
,ev3f6,Welcome! Eat well!,いらっしゃい！たくさん食べてって！,
,ev3f7,Ah! A customer!,あぁ！客だ！,
,,,,
,ev4n,Chef's platter,シェフの大皿,
,ev4o1,"Is that grilled onion you smell? And the scent of garlic? Oh wow! You want some so bad! ""My friend!,"" the mouse shouts to you. ""Let me indulge you!""",「玉ねぎを炒めたにおいか？それからニンニクの香りだと？ほう！そんなにこれが欲しいのか！」ネズミが君に向かって大きな声で言う。「友よ！私が君の欲望をかなえてあげよう。」, WARNING: AUTO-TRANSLATION #####################################################
,ev4o1cr8,"Your gears shift and churn. Is that the aroma of food? Somewhere deep within you, a memory stirs. But you cannot smell anything. The mouse shouts to you. ""Let me indulge you!""",道具がかちゃかちゃと音を立てる。これは食べ物の匂いか？意識の奥深くで、記憶が渦巻いている。でも匂いは感じ取れない。ネズミが君に向かって叫ぶ。「私が君の欲望をかなえてあげよう！」, WARNING: AUTO-TRANSLATION #####################################################
,ev4b1,Buy some food!,いらっしゃい！,
,ev4b1o1,"Very good, he says. ""Another perhaps?""",いいね、彼はそう言った。「他には？」,
,ev4b2,"No, thank you",もう十分,
,ev4b2o1,"Very good sir, he says. ""But please do change your mind.""",「そうかい、気が変わったらいつでも来てくれ」,
,ev4b2o1t1,More food to be had!,もっと食べよう！,
,ev4b2o1t2,Eat again!,また食べに来てくれ！,
,,,,
,ev5n,Eyes,眼球,
,ev5o1,The wall splits open. Inside you can see a vast abyss. Green eyes peer in. You recognize them as the eyes of a predator. Strange sounds echo from the place and an offer is made...,壁が裂いて開く。中には広大な深淵が見える。緑色の目がこちらをじっと見ている。あれは肉食動物の目だ。奇妙な音が響き渡り、ある提案を受ける…,
,ev5b1,Take a rare item for a curse,呪文にかかる代わりにレアアイテムを手に入れる,
,ev5b1o1,You can feel an acknowledgement and an item appears. The eyes watch as a horrible curse is placed in your backpack,感謝の気持ちが届くと同時にアイテムが出現する。恐ろしい呪文が君のバックパックにかけられるのを、その目は見ている,
,ev5b1o2,"Two items appear in front of you, but a horrible curse has been placed upon you. The eyes give no sign of emotion.",目の前に2つのアイテムが現れ、恐ろしい呪文がかけられた。目からは何の感情も読み取れない。,
,ev5b2,No thanks,やめておく,
,ev5b2o1,The eyes watch you. They show no sign of emotion. ,目は君を見ている。何の感情も読み取れない。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev5i1,01100111 01101111 01101110 01100101,01100111 01101111 01101110 01100101,
,ev5i2,01110111 01100001 01110010,01110111 01100001 01110010,
,ev5i3,01101101 01100001 01101011 01100101 01110010 01110011,01101101 01100001 01101011 01100101 01110010 01110011,
,ev5f1,01110010 01100101 01101100 01101001 01100011 01110011,01110010 01100101 01101100 01101001 01100011 01110011,
,ev5f2,01100100 01100001 01101110 01100111 01100101 01110010,01100100 01100001 01101110 01100111 01100101 01110010,
,ev5f3,01100001 01101000 01100101 01100001 01100100,01100001 01101000 01100101 01100001 01100100,
,,,,
,ev6n,Brandy the Otter,カワウソのブランデー,
,ev6o1,"Well, howdy! she says as you approach! Her nose wiggles and she shakes her gigantic tail. ""I've been doing some fishing. Care to buy one?""",やっほう！君が近づくと彼女はそう言った。鼻をピクピクさせながら、大きな尻尾をブンブン振っている。「釣りをしてたの。おひとついかが？」,
,ev6b1,Buy a fish!,魚を買う！,
,ev6b1o1,"She tosses you a fish. ""Care for another?""",魚が飛んできた。「もうひとついかが？」,
,ev6b1o1t1,Hope you enjoy it!,楽しんでね！,
,ev6b1o1t2,That's good!,いいね！,
,ev6b2,No thanks,いらない,
,ev6b2o1,You say no. The smell is starting to get to be a bit much.,断った。匂いがちょっときつい。,
,ev6b2o1t1,I'm still here if you want more!,欲しくなったらいつでも言ってね！,
,ev6b2o1t2,"If you want a fish, let me know!",魚が欲しかったら言ってね！,
,ev6i1,Well howdy traveler!,ご機嫌いかが、旅人さん！,
,ev6i2,"Nothing like a good fish, ya hear?",新鮮な魚しか勝たん、だよね？,
,ev6i3,I'm hungry! Need to chomp!,お腹すいた！ほおばりたいっ！,
,ev6i4,Oh! Well how ya' doin' friend?,あら！気分はどう？,
,ev6i5,Mmm... hi howdy there!,ん～…やっほ！,
,ev6f1,See you again soon!,また来てね！,
,,,,
,ev7n,The Forge - Shield,鍛冶屋 - 盾,
,ev7o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",アナグマが金床のそばに立っている。長年にわたり地下牢で過ごしている彼女の腕は強くたくましい。彼女はこちらに目配せをする。「私は鍛冶屋だ 」そう言った。アナグマは必要以上に喋らない。「武器の強化？」と尋ねられた。,
,ev7b1,Add 4 block,4ブロック追加,
,ev7b1o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",彼女は君の盾を手に取り打った。地下に金属を打つ音が響き渡る。「脆いな、」彼女は言った。「もっと頑丈になる。」正確な打撃を数回繰り出し、盾を作りなおした。こんなにかっこいいなんて思ってもみなかった。,
,ev7b1o1t1,You enjoy.,楽しんだ。,
,ev7b2,Add 1 spike,トゲ効果を1追加,
,ev7b2o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",彼女は君の盾を手に取り打った。地下に金属を打つ音が響き渡る。「脆いな、」彼女は言った。「もっと頑丈になる。」正確な打撃を数回繰り出し、盾を作りなおした。こんなにかっこいいなんて思ってもみなかった。,
,ev7b2o1t1,Better now.,強くなった。,
,ev7b3,Add 1 haste,加速効果を1追加,
,ev7b3o1,"She takes your shield and strikes it. A ring echoes out through the dungeon. ""Weak,"" she says. ""Make better."" With a few precise blows she reshapes the shield. You didn't know it could look this good.",彼女は君の盾を手に取り打った。地下に金属を打つ音が響き渡る。「脆いな、」彼女は言った。「もっと頑丈になる。」正確な打撃を数回繰り出し、盾を作りなおした。こんなにかっこいいなんて思ってもみなかった。,
,ev7b3o1t1,Work fun.,楽しく働こう。,
,ev7b4,No thanks,遠慮する,
,ev7b4o1,She nods and carries on her work.,彼女は頷いて仕事を続ける。,
,ev7b4o1t1,Work to do.,仕事だ。,
,ev7b4o1t2,No want?,必要ない？,
,ev7b4o1t3,Still here...,まだここに…,
,ev7i1,This my forge,私の鍛冶場,
,ev7i2,Welcome to forge,鍛冶場へようこそ,
,ev7i3,I am a crafter,私は鍛冶屋,
,ev7i4,I craft for ages...,ずっと鍛冶屋をやってる…,
,ev7f1,Be well,元気で,
,ev7f2,Be strong,強くなれ,
,ev7f3,Be fierce,勇ましく,
,ev7f4,Be like Badger,アナグマのように,
,,,,
,ev8n,The Forge,鍛冶場, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8o1,"A badger stands by her anvil. Her arms strong and resilient from years spent in the dungeon. She nods at you. ""I forge,"" she says. Badgers aren't much for words. ""Upgrade?"" she asks.",アナグマが金床のそばに立っている。長年にわたり地下牢で過ごしている彼女の腕は強くたくましい。彼女はこちらに目配せをする。「私は鍛冶屋だ 」そう言った。アナグマは必要以上に喋らない。「武器の強化？」と尋ねられた。,
,ev8b1,Add /x damage to a weapon,/x ダメージ追加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b2,Add /x poison to a weapon,毒効果を /x 追加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b3,Add /x burn to a weapon,武器に/xの燃焼効果を追加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b4,Add /x slow to enemy to a weapon,敵の武器に/xの減速効果を追加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev8b5,Add /x block to armor,鎧に/xの防御を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b6,Add /x block to a shield,盾に/xの防御を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b7,Add /x haste to a shield,盾に/xの加速効果を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b8,Add /x spikes to a shield,盾に/xのトゲ効果を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b9,Add conductive to armor,鎧を伝導性にする, WARNING: AUTO-TRANSLATION #####################################################
,ev8b10,Add /x energy to clothing,衣類に/xのエネルギーを追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b11,Add /x haste to a structure,建材に/xの加速効果を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b12,Add /x regen to a ring,リングに/xの凶暴効果を追加, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13,No thanks,遠慮する, WARNING: AUTO-TRANSLATION #####################################################
,ev8b13o1,She nods and carries on her work.,彼女は頷いて仕事を続ける。, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t1,Work to do.,仕事だ。, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t2,No want?,必要ない？, WARNING: AUTO-TRANSLATION #####################################################
,ev8b15o1t3,Still here...,まだここに…, WARNING: AUTO-TRANSLATION #####################################################
,ev8bsos,"She takes the item, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, it glows with a new purpose.",彼女はアイテムを手に取り、何度か回転させた後に金床へ押し付けた。金づちから火の粉が飛び、君は目を守ろうと背を向ける。もう一度振り向くと、アイテムは新しい目的を持って輝いていた。, WARNING: AUTO-TRANSLATION #####################################################
,ev8bsosts,I help,手伝う, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,ev9n,Healer,治療者,
,ev9o1,The porcupine's have travelling clinics throughout the dungeon. They seek to heal the animals who venture deep into the dangers here.,ヤマアラシは地下牢のあちこちに診療所を構えている。地下深くの危険に足を踏み入れる動物たちを治療することが彼らの目的だ。,
,ev9b1,Heal 25 health,体力を25回復する,
,ev9b1o1,"She runs her paw across your wounds. The quills on her back shake and you are lost in the sound of them. When you come to, many wounds are healed.",彼女は君の傷を手のひらでなぞる。背中の羽毛が揺れ、あなたはその音に夢中になる。気がつくと、多くの傷が癒されている。,
,ev9b1o1t1,You look stronger my dear!,強そうな人ね！,
,ev9b1o1t2,Glad to have helped you!,お手伝いできてよかった！,
,ev9b1o1t3,I am here for you!,私がそばにいるわ！,
,ev9b1o1t4,Those wounds are gone.,傷は治ったようね。,
,ev9b2,Gain 5 max health ,最大体力を5増加, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1,She reaches out and you feel a great strength rising! For a moment you seem to lift off the floor.,彼女が手を伸ばすと、たくましい強さが芯から湧き出てくるのを感じた！一瞬床から浮いたような感覚がする。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev9b2o1purse,"She reaches out to you. You feel a great strength in you rising. Your paws are firmly planted, but it almost feels that you are floating.",彼女が君に手を差し伸べる。体の中心から大きな力が湧いてくるのを感じる。足は地についているはずなのに、浮いているような感覚だ。, WARNING: AUTO-TRANSLATION #####################################################
,ev9b2o1t1,You are stronger now than before.,前よりずっと強くなった。,
,ev9b2o1t2,I see your strength.,たくましさが目に見えるわ。,
,ev9b2o1t3,May you achieve what seemed impossible.,あなたは不可能を可能にする人ね。,
,ev9b2o1t4,Your bravery astounds me.,あなたの勇敢さには驚いた。,
,ev9b3,Remove all curses,呪文をすべて解く,
,ev9b3o1,"I sense a great disturbance, she says. ""Something horrible has been placed in your backpack. Let me see."" She removes a single quill and pokes it into your bag carefully in several spots. ""That should do it,"" she says.",大きな乱れを感じるわ、彼女はそう言った。「何か恐ろしいものがバックパックに入っているみたい。見せてみて。」彼女は針を一本手に取り、バックパックに数か所に注意深く穴を開けた。「これで大丈夫」そう言った。,
,ev9b3o1t1,The curses can't hurt you now.,もう呪文の効果はないわ。,
,ev9b3o1t2,Your backpack is a true friend.,バックパックは安全よ。,
,ev9b3o1t3,Curses are temporary.,呪文は一時的なもの。,
,ev9b3o1t4,Heroics are forever.,ヒーローは永遠よ。,
,ev9b4,Nothing for me,自分は大丈夫,
,ev9b4o1,Very well she says.,それは良かった。,
,ev9b4o1t1,We are with you,私たちはあなたの味方よ,
,ev9i1,Welcome to our healing center!,治療センターへようこそ！,
,ev9i2,We are here to protect the brave!,勇者を救うのが私たちの使命！,
,ev9i3,"Come hero, let me heal you!",ヒーローさん、治療は任せて！,
,ev9f1,Stay safe!,ご安全に！,
,ev9f2,My sisters are here for you!,私たちがここにいるわ！,
,ev9f3,May we meet again!,ぜひまた会いに来てね！,
,,,,
,ev10n,Magic Font,不思議な泉,
,ev10o1,"Nestled deep in a throng of mushrooms you see a magical font, its cool waters flowing. Above the water, a humid mist circles and spills over the edge. In the distance  you hear frogs croaking... no... chanting.",キノコの群落の奥に、冷たい水が流れる不思議な泉がある。水面の辺りには湿った霧が立ち込め、縁からこぼれ落ちている。遠くからカエルの鳴き声...いや...詠唱が聞こえる。,
,ev10b1,Say a prayer...[+3 max hp],祈りを捧げる…[最大HP +3],
,ev10b1o1,"You wish to make it home safely, your backpack overflowing with rare cheeses. You feel a warmth in you. You can do this!",バックパックにあふれんばかりのチーズをつめこんで、無事家に帰れますように。体の内から暖かくなってくるのを感じる。君ならできる！,
,ev10b2,take a bath [+15 hp],湯船に浸かる[HP +15],
,ev10b2o1,The water feels warm and relaxing on your skin. The croaking grows louder. From behind a mushroom a frog nods at you. Your wounds are healed.,お湯は温かく、肌に心地よい。詠唱の声は大きくなる。キノコの陰からカエルがこちらに向かって頷いた。傷は治っていた。,
,ev10b3,Kick it over! [Start a battle!],やっつけろ！[バトル開始！],
,ev10b3o1,"You watch the water as it flows across the floor of the dungeon. It pools up around the feet of an enemy. You look up. The frogs are not happy. ""Zealot!"" they cry and attack!",地下牢の床を水が流れる。敵の足元が水に浸っていく。君は視線を上げた。カエルのご機嫌は良くないようだ。「狂信者め！」彼らはそう叫び、攻撃した！,
,,,,
,ev11n,Buckler-o,丸盾落とし,
,ev11extra,Drop the li'l Buckler! You can take the item you land on!,小さな盾を落とそう！落ちたところにあるアイテムをもらえる！,
,ev11i1,Nothing up my sleeves!,種も仕掛けもない！,
,ev11i2,My left foot is lucky!,左足に運がついているようだ！,
,ev11i3,My house looks like a hat!,我が家が小さな帽子みたい！,
,ev11f1,Magical!,魔法みたい！,
,,,,
,ev12n,The Alchemist,錬金術師,
,ev12o1,"Well hello there. Her voice is cool and friendly - not what you expected. ""May I interest you in some potions? In return... I ask for just a taste."" ""A taste? Of me?"" you ask. ""Just a nibble darling,"" she says. ""You'll barely feel a thing.""",どうも、こんにちは。彼女の声は親しみやすく落ち着いている - 少し意外だ。「毒薬はいかが？支払いは…味見をさせてほしいの。」「味見？誰の？」君は尋ねた。「ほんの少しでいいのよ、一瞬で済むから。」,
,ev12b1,Get a potion. [Lose 5 health],ポーションを手に入れる。[HP -5],
,ev12b1o1,"Her teeth press into your neck. ""Oh delicious. May I tempt you again?""",彼女の歯が首に食い込んだ。「あらおいしい。もう一度、って言ったらどう？」,
,ev12b2,No thanks!,要らない！,
,ev12b2o1,"Very well darling, she says. ""Though I am sorry to see you go.""",そうね、彼女は言った。「行ってしまうのね、寂しいわ。」,
,ev12b2o1t1,"Your loss, my sweet.",寂しくなるわ。,
,ev12i1,"So vital. Mmm, delicious.",生き生きしてるわね。ほんと、おいしい。,
,ev12i2,The proper ingredients for the potion...,ポーションにぴったりの材料ね…,
,ev12i3,We brew what we can  to do what we must,やるべきことをやるために、必要なものを煎じるの,
,ev12i4,"A drop of red, a drop of green...",赤いのを一滴、緑のを一滴…,
,ev12f1,My dear there are reasons why things are as they are.,万物はそこにあるべくしてあるのよ。,
,ev12f2,Come freely. Go safely darling.,いつでも来てね。気を付けて。,
,,,,
,ev13n,Trading up,わらしべ長者,
,ev13o1cr8,"A warning from your internal systems - someone here cannot be trusted. Through the darkness your mechanical eyes see him clearly - a rat. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",内部システムが警告を出している - ここにいる者は信用できない。暗闇の中でも機械の目ははっきるとその姿を確認できる - ネズミだ。「取り引きをしよう」ネズミはそう言う。「同じタイプでもっとレアなアイテムをあげるよ」そう言ってフフと笑うが、彼の言葉が本当である保証はない。, WARNING: AUTO-TRANSLATION #####################################################
,ev13o1,"Your snout wiggles as you inhale a musky odor. Someone here is in need of a bath. You turn around and standing there is a rat. You never heard him come out. ""Let's make a trade."" he says. ""I'll give you a rarer item of the same type...""  He chuckles. There are no guarantees.",ムスクのような甘い匂いが漂い、鼻がピクピクと反応する。風呂に入りたがっている動物がいるのだろう。振り向くとネズミがいた。ネズミが外に出てきた話は聞いたことがない。「取り引きしよう」彼は言った。「同じタイプでもっとレアなアイテムをあげるよ…」クスクスと笑いながらそう続ける。彼の言葉が本当である保証はない。,
,ev13b1,Get a rarer item of the same type,同じタイプのレアなアイテムを手に入れる,
,ev13b1o1,"He takes the item and examines it. ""How's this for a trade?"" There's no time to say no.",カエルはアイテムを受け取りじっくりと観察した。「これで取り引きだって？」言い返す暇もなかった。,
,ev13b1o1t1,Hehehe,えへへ,
,ev13b1o1t2,Hope ya' like it,気に入ってくれるといいな,
,ev13b1o1t3,No take backsies,後戻りはなしだ,
